Date,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
00:00.0,4261.48,4313.62,4261.32,4308.83,47.181009,1.50295E+12,202366.1384,171,35.160503,150952.4779,7887.635513
00:00.0,4308.83,4328.69,4291.37,4315.32,23.234916,1.50295E+12,100304.8236,102,21.448071,92608.27973,8039.262402
00:00.0,4330.29,4345.45,4309.37,4324.35,7.229691,1.50295E+12,31282.31267,36,4.802861,20795.31722,8041.760498
00:00.0,4316.62,4349.99,4287.41,4349.99,4.443249,1.50296E+12,19241.0583,25,2.602292,11291.34702,8048.127886
00:00.0,4333.32,4377.85,4333.32,4360.69,0.972807,1.50296E+12,4239.503586,28,0.814655,3552.746817,8018.0365
00:00.0,4360,4445.78,4360,4444,10.763623,1.50296E+12,47219.35594,43,10.2584,44995.37816,8037.265289
00:00.0,4441.1,4470,4399.81,4460,24.865399,1.50297E+12,110290.729,82,21.698693,96225.97305,7981.745555
00:00.0,4460,4485.39,4427.3,4427.3,27.018053,1.50297E+12,120751.5692,95,26.015885,116279.9531,8020.698096
00:00.0,4436.06,4449.56,4411,4411,23.032398,1.50297E+12,102126.5186,108,15.312994,67947.83408,8088.627404
00:00.0,4411,4459,4411,4459,31.312436,1.50298E+12,138976.6394,118,26.564042,117910.4756,8062.532231
00:00.0,4459,4485.39,4435.93,4470.82,51.735897,1.50298E+12,230871.4534,234,38.807183,173092.1168,8073.252991
00:00.0,4470.82,4470.82,4333.42,4352.34,68.48127,1.50299E+12,302264.1869,398,44.499914,196469.3316,8133.190658
00:00.0,4352.33,4354.35,4255.3,4354.18,67.458791,1.50299E+12,290623.4505,398,39.026737,168418.3694,8166.342752
00:00.0,4354.18,4354.84,4235.45,4289.24,59.664912,1.50299E+12,256886.3526,192,38.967534,168263.6678,8243.913773
00:00.0,4289.24,4302.45,4218.68,4256.97,51.275163,1.503E+12,218259.3588,194,45.031237,191655.1816,8376.30922
00:00.0,4241.91,4335.3,4200.74,4325.23,46.71085,1.503E+12,199521.9369,202,42.010855,179470.9822,8425.112852
00:00.0,4307.56,4354.84,4258.56,4346.74,48.975472,1.503E+12,210548.8809,247,42.883136,184311.3055,8513.891933
00:00.0,4346.74,4369.69,4309.23,4333.55,61.773036,1.50301E+12,268284.9418,248,51.152619,222120.0759,8635.668854
00:00.0,4333.55,4359.13,4310,4336.8,57.376142,1.50301E+12,248368.2797,236,44.313544,191898.1485,8710.089344
